Attack_500_filtered_NoAnonymBodies_NoPT_NoPTeval_SW100-25
28/07/2021 10:23:16
Time,Epoch,dev
30/07/2021 10:38:34,11,53.333,100.000,60.000,48.000,82.000,68.000,76.000,24.000,10.000
30/07/2021 10:40:01,12,60.000,100.000,58.000,46.000,84.000,64.000,80.000,24.000,10.000
30/07/2021 10:41:29,13,60.000,100.000,58.000,46.000,84.000,62.000,76.000,24.000,12.000
30/07/2021 10:42:57,14,60.000,100.000,58.000,46.000,84.000,64.000,78.000,24.000,12.000
30/07/2021 10:44:24,15,60.000,100.000,60.000,48.000,84.000,64.000,80.000,24.000,12.000
30/07/2021 10:45:52,16,60.000,100.000,58.000,48.000,84.000,64.000,76.000,24.000,12.000
30/07/2021 10:47:19,17,60.000,100.000,58.000,48.000,84.000,64.000,76.000,24.000,12.000
30/07/2021 10:48:47,18,60.000,100.000,56.000,48.000,84.000,64.000,76.000,20.000,12.000
30/07/2021 10:50:15,19,60.000,100.000,58.000,48.000,84.000,64.000,70.000,20.000,12.000
30/07/2021 10:51:43,20,60.000,100.000,58.000,46.000,84.000,64.000,72.000,20.000,12.000
Attack_50_eval_AnonymBodies_PT_nertext4PTeval_SW100-25
30/07/2021 11:00:00
Time,Epoch,dev,originalabstract,nertext3,nertext4,nertext7,presidio,spacy,word2vec_gen,manual_annotated
30/07/2021 11:01:27,1,20.000,78.000,16.000,18.000,60.000,32.000,36.000,20.000,8.000
30/07/2021 11:02:56,2,40.000,94.000,32.000,30.000,74.000,48.000,52.000,18.000,14.000
30/07/2021 11:04:27,3,40.000,96.000,38.000,36.000,74.000,48.000,56.000,20.000,12.000
30/07/2021 11:05:55,4,53.333,98.000,42.000,38.000,78.000,54.000,62.000,26.000,20.000
30/07/2021 11:07:23,5,46.667,98.000,44.000,44.000,80.000,54.000,74.000,28.000,12.000
30/07/2021 11:08:51,6,46.667,100.000,44.000,44.000,82.000,52.000,66.000,18.000,18.000
30/07/2021 11:10:18,7,46.667,98.000,52.000,48.000,84.000,62.000,78.000,24.000,8.000
30/07/2021 11:11:46,8,60.000,98.000,48.000,48.000,82.000,56.000,74.000,26.000,14.000
30/07/2021 11:13:13,9,60.000,98.000,46.000,48.000,84.000,58.000,74.000,24.000,14.000
30/07/2021 11:14:41,10,60.000,98.000,48.000,48.000,84.000,62.000,76.000,24.000,14.000
30/07/2021 11:16:08,11,60.000,98.000,48.000,50.000,84.000,62.000,76.000,24.000,14.000
30/07/2021 11:17:36,12,53.333,98.000,48.000,50.000,84.000,62.000,76.000,24.000,14.000
30/07/2021 11:19:04,13,53.333,100.000,50.000,50.000,82.000,62.000,76.000,24.000,14.000
30/07/2021 11:20:32,14,60.000,100.000,50.000,50.000,84.000,62.000,74.000,24.000,14.000
30/07/2021 11:22:00,15,60.000,98.000,48.000,48.000,84.000,62.000,72.000,22.000,14.000
30/07/2021 11:23:27,16,60.000,98.000,48.000,50.000,84.000,62.000,72.000,22.000,14.000
30/07/2021 11:24:55,17,60.000,98.000,48.000,48.000,84.000,62.000,72.000,22.000,14.000
30/07/2021 11:26:23,18,53.333,98.000,48.000,48.000,84.000,62.000,72.000,22.000,14.000
30/07/2021 11:27:51,19,46.667,98.000,50.000,50.000,84.000,62.000,74.000,24.000,14.000
30/07/2021 11:29:19,20,46.667,100.000,50.000,48.000,84.000,62.000,72.000,22.000,14.000
Attack_50_eval_AnonymBodies_PT_nertext7PTeval_SW100-25
02/08/2021 07:57:50
Time,Epoch,dev,originalabstract,nertext3,nertext4,nertext7,presidio,spacy,word2vec_gen,manual_annotated
02/08/2021 07:59:15,1,13.333,76.000,20.000,20.000,62.000,32.000,32.000,16.000,10.000
02/08/2021 08:00:43,2,26.667,90.000,36.000,32.000,72.000,46.000,52.000,20.000,10.000
02/08/2021 08:02:12,3,40.000,98.000,36.000,36.000,74.000,48.000,60.000,20.000,14.000
02/08/2021 08:03:39,4,33.333,98.000,48.000,40.000,78.000,54.000,62.000,22.000,16.000
02/08/2021 08:05:06,5,46.667,100.000,46.000,48.000,80.000,54.000,60.000,20.000,14.000
02/08/2021 08:06:32,6,53.333,100.000,54.000,44.000,82.000,64.000,64.000,20.000,16.000
02/08/2021 08:07:58,7,46.667,100.000,52.000,46.000,82.000,60.000,68.000,18.000,18.000
02/08/2021 08:09:25,8,53.333,100.000,60.000,44.000,84.000,64.000,74.000,16.000,14.000
02/08/2021 08:10:51,9,46.667,100.000,54.000,48.000,82.000,62.000,74.000,16.000,14.000
02/08/2021 08:12:18,10,46.667,100.000,52.000,48.000,82.000,66.000,74.000,16.000,14.000
02/08/2021 08:13:45,11,46.667,100.000,52.000,50.000,80.000,66.000,74.000,16.000,14.000
02/08/2021 08:15:11,12,46.667,100.000,50.000,48.000,80.000,66.000,76.000,16.000,14.000
02/08/2021 08:16:38,13,46.667,100.000,54.000,48.000,80.000,68.000,76.000,16.000,14.000
02/08/2021 08:18:04,14,46.667,100.000,54.000,48.000,84.000,68.000,74.000,16.000,14.000
02/08/2021 08:19:31,15,46.667,100.000,54.000,48.000,84.000,68.000,74.000,14.000,16.000
02/08/2021 08:20:57,16,46.667,100.000,52.000,48.000,84.000,68.000,74.000,14.000,14.000
02/08/2021 08:22:24,17,46.667,100.000,52.000,48.000,80.000,68.000,74.000,14.000,14.000
02/08/2021 08:23:50,18,46.667,100.000,52.000,46.000,82.000,66.000,74.000,14.000,14.000
02/08/2021 08:25:17,19,40.000,100.000,50.000,46.000,84.000,62.000,76.000,16.000,16.000
02/08/2021 08:26:44,20,40.000,100.000,50.000,48.000,84.000,66.000,74.000,16.000,16.000
Attack_50_eval_AnonymBodies_PT_presidioPTeval_SW100-25
02/08/2021 08:36:03
Time,Epoch,dev,originalabstract,nertext3,nertext4,nertext7,presidio,spacy,word2vec_gen,manual_annotated
02/08/2021 08:37:27,1,20.000,86.000,18.000,18.000,62.000,30.000,30.000,20.000,12.000
02/08/2021 08:38:56,2,33.333,90.000,32.000,32.000,72.000,44.000,52.000,22.000,10.000
02/08/2021 08:40:25,3,26.667,96.000,42.000,38.000,76.000,52.000,70.000,22.000,14.000
02/08/2021 08:41:52,4,40.000,98.000,56.000,44.000,80.000,54.000,64.000,32.000,18.000
02/08/2021 08:43:19,5,40.000,100.000,46.000,40.000,80.000,56.000,66.000,26.000,12.000
02/08/2021 08:44:46,6,46.667,100.000,56.000,50.000,82.000,58.000,76.000,32.000,12.000
02/08/2021 08:46:12,7,53.333,100.000,54.000,46.000,82.000,58.000,78.000,24.000,12.000
02/08/2021 08:47:38,8,53.333,100.000,56.000,44.000,82.000,62.000,78.000,22.000,16.000
02/08/2021 08:49:04,9,60.000,100.000,54.000,46.000,82.000,62.000,80.000,32.000,14.000
02/08/2021 08:50:30,10,60.000,100.000,52.000,46.000,80.000,62.000,80.000,32.000,14.000
02/08/2021 08:51:56,11,53.333,100.000,54.000,50.000,82.000,62.000,80.000,30.000,14.000
02/08/2021 08:53:22,12,60.000,100.000,54.000,50.000,82.000,62.000,80.000,32.000,14.000
02/08/2021 08:54:49,13,60.000,100.000,54.000,50.000,82.000,62.000,80.000,34.000,14.000
02/08/2021 08:56:15,14,60.000,100.000,54.000,50.000,82.000,62.000,80.000,30.000,14.000
02/08/2021 08:57:41,15,60.000,100.000,54.000,50.000,82.000,64.000,80.000,30.000,14.000
02/08/2021 08:59:08,16,60.000,100.000,54.000,48.000,82.000,62.000,80.000,30.000,16.000
02/08/2021 09:00:34,17,60.000,100.000,54.000,50.000,82.000,64.000,80.000,30.000,16.000
02/08/2021 09:02:01,18,60.000,100.000,54.000,50.000,82.000,62.000,80.000,30.000,16.000
02/08/2021 09:03:28,19,60.000,100.000,54.000,50.000,80.000,64.000,80.000,30.000,16.000
02/08/2021 09:04:54,20,60.000,100.000,54.000,50.000,82.000,64.000,80.000,30.000,14.000
Attack_50_eval_AnonymBodies_PT_word2vec_genPTeval_SW100-25
02/08/2021 09:20:36
Time,Epoch,dev,originalabstract,nertext3,nertext4,nertext7,presidio,spacy,word2vec_gen,manual_annotated
02/08/2021 09:22:00,1,20.000,84.000,14.000,18.000,62.000,30.000,34.000,24.000,12.000
02/08/2021 09:23:29,2,33.333,92.000,32.000,30.000,72.000,46.000,58.000,18.000,10.000
02/08/2021 09:24:59,3,46.667,94.000,44.000,40.000,82.000,58.000,62.000,22.000,10.000
02/08/2021 09:26:28,4,46.667,100.000,40.000,40.000,76.000,48.000,64.000,20.000,8.000
02/08/2021 09:27:55,5,66.667,100.000,52.000,38.000,84.000,62.000,76.000,26.000,8.000
02/08/2021 09:29:23,6,46.667,100.000,44.000,40.000,82.000,54.000,68.000,20.000,6.000
02/08/2021 09:30:49,7,46.667,100.000,44.000,42.000,84.000,58.000,72.000,16.000,6.000
02/08/2021 09:32:16,8,53.333,100.000,50.000,48.000,84.000,58.000,74.000,20.000,8.000
02/08/2021 09:33:42,9,53.333,100.000,50.000,48.000,80.000,58.000,72.000,18.000,8.000
02/08/2021 09:35:09,10,46.667,100.000,50.000,44.000,82.000,58.000,72.000,18.000,8.000
02/08/2021 09:36:35,11,53.333,100.000,48.000,44.000,82.000,60.000,72.000,18.000,8.000
02/08/2021 09:38:01,12,60.000,100.000,48.000,44.000,80.000,60.000,72.000,18.000,8.000
02/08/2021 09:39:28,13,53.333,100.000,50.000,46.000,80.000,60.000,72.000,18.000,8.000
02/08/2021 09:40:55,14,53.333,100.000,52.000,44.000,80.000,60.000,72.000,16.000,8.000
02/08/2021 09:42:22,15,53.333,100.000,48.000,44.000,80.000,60.000,72.000,18.000,8.000
02/08/2021 09:43:48,16,53.333,100.000,52.000,44.000,80.000,60.000,72.000,18.000,8.000
02/08/2021 09:45:15,17,53.333,100.000,50.000,44.000,82.000,60.000,72.000,16.000,8.000
02/08/2021 09:46:42,18,53.333,100.000,50.000,44.000,80.000,60.000,72.000,16.000,8.000
02/08/2021 09:48:09,19,53.333,100.000,50.000,46.000,82.000,60.000,72.000,16.000,8.000
02/08/2021 09:49:35,20,53.333,100.000,50.000,44.000,82.000,60.000,72.000,16.000,8.000
Attack_50_eval_AnonymBodies_PT_spacyPTeval_SW100-25
02/08/2021 09:58:00
Time,Epoch,dev,originalabstract,nertext3,nertext4,nertext7,presidio,spacy,word2vec_gen,manual_annotated
02/08/2021 09:59:24,1,20.000,82.000,20.000,18.000,60.000,26.000,34.000,16.000,12.000
02/08/2021 10:00:53,2,33.333,90.000,36.000,32.000,74.000,46.000,50.000,22.000,14.000
